type,price,location,date,time
bicycle,200,mesa nueva - cala,09/04/2022,04:30
bicycle,500,regents rd,09/05/2022,04:30
bicycle,330,sixth college,09/02/2022,13:00
scooter,1004,innovation ln foodworx,06/30/2022,20:00
scooter,1004,innovation ln foodworx,07/01/2022,21:00
scooter,1004,innovation ln foodworx,07/25/2022,21:00
scooter,1004,innovation ln foodworx,06/30/2022,21:00
bicycle,350,europe hall / asia hall,09/07/2022,01:10
bicycle,300,matthews apartments,09/14/2022,19:20
bicycle,-1,warren apts - douglas hall,09/16/2022,12:02
bicycle,1242,tioga hall,09/17/2022,12:04
bicycle,800,seventh  bldg.,09/17/2022,01:05
bicycle,1200,trolley - central campus stop,09/17/2022,13:06
bicycle,220,scholars dr north,09/16/2022,19:00
scooter,558,rimac,09/17/2022,19:13
scooter,430,marshall upper apts m,09/19/2022,04:45
bicycle,419,one miramar st - ,09/20/2022,01:25
bicycle,1039,asia hall,09/20/2022,04:15
bicycle,1200,"residence hall, dorm",09/22/2022,05:05
scooter,799,7th college  bldg 3,09/21/2022,18:45
bicycle,1500,center hall,09/22/2022,19:00
bicycle,200,village  building,09/23/2022,00:00
bicycle,500,seventh college ,09/26/2022,13:30
bicycle,600,seventh college ,09/23/2022,15:28
bicycle,627,galathea ,09/24/2022,07:00
bicycle,-1,trolley - central campus stop,09/26/2022,00:03
bicycle,1000,ucsd police department,09/26/2022,08:37
bicycle,300,7th college building,09/22/2022,02:15
bicycle,450,tenaya hall,09/26/2022,20:35
bicycle,800,ebu2,09/23/2022,14:00
scooter,649,innovation lane,09/19/2022,18:00
scooter,649,sixth college,09/19/2022,18:00
bicycle,500,galathea hall,09/28/2022,12:15
scooter,400,ebu2,09/28/2022,17:30
bicycle,1200,ucsd central campus trolley stop,09/28/2022,11:30
bicycle,249,center hall,09/28/2022,21:15
scooter,400,ebu2,09/29/2022,17:30
bicycle,501,galbraith hall,09/28/2022,12:15
bicycle,1201,trolley - central campus stop,09/28/2022,11:30
bicycle,1200,design and innovation bldg.,09/28/2022,11:15
bicycle,1500,voigt dr,09/29/2022,15:15
bicycle,900,natural science bldg ,09/28/2022,00:00
bicycle,1000,thornton hospital,09/30/2022,16:25
scooter,649,price center,04/02/2022,13:35
scooter,403,price center,04/03/2022,01:20
bicycle,150,central campus trolley station,04/03/2022,11:30
bicycle,1000,nuevo  - exchange,04/02/2022,11:37
bicycle,300,keeling building,03/20/2022,10:00
bicycle,300,seventh college ,04/07/2022,16:34
bicycle,250,scholars drive north,04/06/2020,19:50
bicycle,250,seventh college  #6,04/11/2022,07:30
bicycle,250,ebu2,04/12/2022,21:05
scooter,300,warren lecture hall,04/12/2022,10:00
bicycle,650,"4168 front st, lot p964",04/13/2022,13:00
bicycle,1000,price center ,04/14/2022,16:20
bicycle,650,ucsd hillcrest medical offices south,04/13/2022,13:00
bicycle,310,geisel,04/16/2022,07:22
bicycle,450,7th college laundry room,04/16/2022,11:37
bicycle,400,galbraith hall,04/19/2022,12:50
scooter,550,center hall,04/19/2022,12:45
bicycle,300,stewart hall,04/21/2022,00:00
bicycle,300,pangea parking structure,04/22/2022,06:05
bicycle,150,gilman dr / myers dr,04/22/2022,13:00
bicycle,2000,nuevo  - piedra,04/23/2022,23:22
bicycle,539,bates hall,04/24/2022,13:22
scooter,-1,rimac,04/25/2022,20:52
scooter,850,rimac - ,04/25/2022,20:37
bicycle,330,center hall,04/24/2022,13:40
bicycle,200,central mesa apts,04/26/2022,23:00
bicycle,799,gilman parking structure,04/27/2022,21:00
scooter,750,design and innovation bldg,04/28/2022,12:15
bicycle,4000,social sciences bldg,04/29/2022,09:25
bicycle,1500,stein clinical research bldg,04/29/2022,13:15
scooter,827,warren hall ,02/28/2022,19:10
skateboard,350,natural sciences bldg,03/01/2022,13:15
bicycle,600,one miramar st bldg 4,03/01/2022,22:30
bicycle,1500,scholars dr north,03/04/2022,03:30
scooter,400,otterson hall,03/02/2022,18:00
bicycle,440,3869 miramar street,03/05/2022,02:35
bicycle,500,main gym,03/05/2022,19:52
bicycle,167,mesa nueva - artesa,03/04/2022,14:15
bicycle,500,sixth college - catalyst,03/06/2022,05:47
scooter,20,conrad prebys music center,03/04/2022,14:15
bicycle,1100,price center ,03/07/2022,16:20
bicycle,200,price center ,03/07/2022,16:52
scooter,-1,library walk,03/07/2022,19:14
scooter,-1,geisel library,03/07/2022,19:27
bicycle,800,erc africa hall,03/07/2022,04:55
scooter,1237,warren lecture hall,03/08/2022,19:04
bicycle,200,miramar st,03/06/2022,11:59
bicycle,500,central campus trolley,03/10/2022,14:40
scooter,300,geisel library,03/11/2022,21:25
bicycle,300,geisel,03/12/2022,02:34
scooter,330,library walk - the trove,03/11/2022,21:05
scooter,800,ntpll - tapestry,03/14/2022,07:40
bicycle,750,gilman parking structure,03/11/2022,20:45
bicycle,-1,pepper canyon lodge,03/17/2022,00:00
bicycle,600,gilman dr,03/12/2022,22:55
bicycle,400,goldberg hall  ,03/17/2022,02:15
bicycle,1115,unex o,03/21/2022,14:15
bicycle,450,social sciences building,03/21/2022,15:00
bicycle,70,harlan hall,03/26/2022,04:00
bicycle,200,rita atkinson ,02/03/2022,00:30
bicycle,300,central campus ,03/29/2022,20:15
scooter,500,north center hall ,03/30/2022,15:25
bicycle,200,the trove - ,03/31/2022,13:50
bicycle,1000,la jolla del sol apts,03/31/2022,13:32
bicycle,150,center hall ,03/31/2022,17:22
scooter,300,arts and humanities,12/01/2022,08:20
bicycle,600,engineering building,12/02/2022,00:30
bicycle,600,jacobs hall,12/02/2022,23:30
bicycle,150,voigt dr,12/04/2022,15:55
scooter,700,liontree arena,12/06/2022,08:07
scooter,700,atlantis hall,12/06/2022,03:45
bicycle,849,nuevo ,12/06/2022,16:56
bicycle,140,cse building,12/06/2022,16:30
bicycle,300,geneva hall,12/06/2022,13:55
scooter,400,pepper canyon hall,12/07/2022,19:00
bicycle,-1,voigt dr/ matthews ln,12/07/2022,17:01
scooter,800,pangea parking structure,12/07/2022,18:34
scooter,1600,ucsd police department,12/07/2022,14:30
scooter,499,nuevo  - exchange,12/10/2022,20:30
bicycle,250,trolley - central campus stop,12/11/2022,13:55
scooter,550,goldberg hall,12/16/2022,00:00
bicycle,500,va hospital,12/16/2022,19:28
scooter,300,trolley - central campus stop,12/18/2022,10:55
bicycle,-1,villa la jolla dr/ gilman dr,12/19/2022,19:50
bicycle,1500,voigt dr,12/23/2022,18:40
scooter,405,regents rd,12/28/2022,05:30
bicycle,50,scholars dr north,12/21/2021,21:00
bicycle,107,mesa nueva,12/20/2021,14:00
bicycle,150,matthews apt d - ,01/02/2022,02:00
bicycle,299,seventh college bldg 3,01/02/2022,13:20
bicycle,200,charles david keeling apt 1,12/24/2021,14:25
bicycle,380,charles david keeling apt 1,12/22/2021,13:15
bicycle,542,seventh college,12/23/2021,12:25
bicycle,800,canyon view aquatic & climbing wall,01/03/2022,17:13
bicycle,400,structural and material engineering bldg,01/03/2022,22:30
bicycle,500,structural and material engineering bldg,01/04/2022,00:21
bicycle,600,one miramar st bldg,01/04/2022,08:40
bicycle,300,seventh college  #6,01/03/2022,12:30
bicycle,900,erc africa hall,12/22/2021,13:30
bicycle,400,capa,01/05/2022,05:00
bicycle,280,tioga hall,01/04/2022,05:00
scooter,650,challenger hall,01/05/2022,09:15
bicycle,1500,one miramar st bldg 3,01/05/2022,09:45
bicycle,700,ucsd police department,01/07/2022,16:19
bicycle,200,nuevo  - brisa,01/06/2022,17:15
bicycle,600,seventh college ,12/26/2021,00:00
bicycle,250,nuevo  - piedra,12/20/2021,03:00
bicycle,1100,one miramar st bldg 1,01/08/2022,14:22
bicycle,300,sixth college,12/23/2021,07:30
bicycle,250,one miramar st bldg 4,01/08/2022,20:55
bicycle,2200,seventh college ,01/07/2022,11:00
bicycle,700,price center,01/12/2022,18:50
bicycle,-1,price center,01/13/2022,13:05
bicycle,400,price center,01/13/2022,18:45
bicycle,350,scholars dr north,12/28/2021,12:55
bicycle,500,warren lecture hall,01/16/2022,10:10
scooter,625,marshall lowers,01/16/2022,19:45
bicycle,1000,seventh college  bldg 1,06/30/2022,08:45
bicycle,800,matthews apartments,01/16/2022,14:40
bicycle,550,ntpll - tapestry,12/29/2021,13:30
scooter,830,structural and material engineering bldg,01/18/2022,11:22
bicycle,300,price center,01/18/2022,14:17
bicycle,1394,thurgood marshall res hall,01/17/2022,20:30
bicycle,250,tioga hall,01/19/2022,15:20
scooter,400,asante hall ,01/20/2022,02:20
bicycle,300,warren black hall  ,01/20/2022,12:55
scooter,400,canyon vista admin,01/19/2022,15:15
bicycle,350,one miramar street,12/28/2021,16:30
bicycle,300,tioga hall,01/20/2022,01:07
scooter,280,gilman dr,07/22/2021,08:35
bicycle,569,douglas hall,01/21/2021,04:15
scooter,549,ucsd central campus trolley station,01/21/2022,19:20
bicycle,100,pangea dr,01/21/2022,19:27
bicycle,400,pepper canyon lodge,01/21/2022,12:00
bicycle,730,sanford consortium parking lot,01/14/2022,02:00
scooter,400,geisel library ,01/22/2022,16:19
bicycle,400,marshall uppers,01/23/2022,11:15
bicycle,198,camp snoopy residence hall,01/12/2022,16:25
bicycle,500,stewart hall,01/02/2022,00:30
bicycle,300,seventh college ,07/01/2021,19:15
bicycle,400,geisel library,01/26/2022,13:19
bicycle,1499,muir college dr,01/26/2022,21:00
bicycle,1000,justice lane,01/28/2022,02:00
bicycle,100,tenya hall,01/04/2022,21:30
bicycle,150,trolley - central campus stop,01/30/2022,03:45
bicycle,1200,library walk,01/30/2022,17:30
bicycle,800,tuolumne apts,01/05/2022,12:00
scooter,708,geisel library,01/30/2022,13:45
bicycle,330,atlantis dorms,01/31/2022,12:00
bicycle,1500,eleanor roosevelt college,01/31/2022,19:25
bicycle,1520,thornton pavilion,10/01/2022,08:26
scooter,700,price center,10/01/2022,16:22
bicycle,140,sixth college lobby - ,10/02/2022,06:40
scooter,360,price center ,10/02/2022,14:40
scooter,-1,campus services complex a,10/03/2022,05:24
bicycle,300,nuevo ,09/30/2022,00:15
scooter,268,lebon dr,10/03/2022,07:45
scooter,-1,earth hall south,10/04/2022,09:24
scooter,600,railing between pangea parking structure / earth hall south,10/04/2022,01:07
bicycle,750,price center,10/04/2022,07:40
bicycle,800,thurgood marshall administration offices,10/04/2022,19:30
bicycle,375,warren lecture hall ,10/04/2022,16:52
scooter,350,medical teaching facility,10/05/2022,13:15
bicycle,399,beagle hall,10/02/2022,07:55
bicycle,1700,"seventh college,  tower",10/06/2022,09:29
scooter,600,conrad presbys  - ,10/06/2022,11:52
bicycle,200,one miramar st blgd 3,10/06/2022,03:00
scooter,570,central hall north ,10/06/2022,11:55
bicycle,800,geisel library - ,10/05/2022,17:14
bicycle,3000,franklin antonio hall,10/06/2022,12:00
scooter,400,tenaya hall,10/07/2022,04:15
bicycle,1000,blake hall,10/09/2022,02:55
bicycle,500,trolley - central campus stop,10/09/2022,15:30
bicycle,1500,scholars dr north,10/09/2022,20:52
bicycle,700,scholars dr north,10/08/2022,16:00
bicycle,700,mesa nueva,10/10/2022,10:25
bicycle,300,foodworx dining room,10/10/2022,10:05
skateboard,165,price center ,10/10/2022,15:25
scooter,-1,trolley - central campus stop,10/11/2022,12:07
bicycle,350,center hall,10/11/2022,14:14
bicycle,301,tenaya hall,10/11/2022,00:30
bicycle,801,stein clinical research bldg.,10/03/2022,11:52
bicycle,1500,tioga hall,10/12/2022,11:30
scooter,750,seventh college,10/13/2022,04:00
bicycle,1200,seventh college,10/13/2022,15:30
bicycle,300,library walk,10/13/2022,22:05
bicycle,300,gilman dr,10/12/2022,13:30
bicycle,950,scholars dr south,10/14/2022,11:30
bicycle,1000,regents rd,10/15/2022,19:07
bicycle,400,ucsd central campus bus,10/15/2022,21:05
bicycle,270,argo hall,10/16/2022,22:30
bicycle,899,main gym,10/15/2022,12:06
scooter,600,gilman parking structure,10/17/2022,14:30
bicycle,300,one miramar st bldg 2,10/16/2022,05:00
bicycle,530,  of lion tree,10/17/2022,11:40
scooter,850,design & innovation bldg - ,10/17/2022,15:47
scooter,689,rimac,10/17/2022,22:30
bicycle,270,blake hall,10/17/2022,19:10
scooter,387,center hall,10/18/2022,08:40
bicycle,225,seventh college  tower,10/18/2022,04:30
bicycle,700,nuevo  - piedra,10/20/2022,01:15
bicycle,600,science & engineering research facility,10/20/2022,08:35
bicycle,200,blake hall,10/20/2022,04:45
scooter,599,trolley - central campus stop,10/19/2022,19:20
scooter,600,seventh college ,10/23/2022,02:37
bicycle,-1,ucsd medical facility - hillcrest,10/22/2022,15:15
bicycle,1600,nuevo  - tierra,10/24/2022,13:56
scooter,500,ladden hall,10/24/2022,13:00
bicycle,250,osler ln,10/24/2022,15:11
bicycle,500,price center,10/24/2022,21:15
bicycle,500,gilman dr,10/24/2022,09:40
bicycle,90,russell lane,10/25/2022,02:00
bicycle,500,mesa nueva - artesa,10/25/2022,02:52
bicycle,1000,blacks beach,10/25/2022,13:32
scooter,300,café ventanas,10/26/2022,09:00
bicycle,1500,mesa nueva,10/26/2022,01:00
bicycle,500,conrad prebys music center,10/25/2022,11:55
bicycle,300,regents rd,10/26/2022,05:02
scooter,790,price center,10/26/2022,21:59
bicycle,150,coast apartments,10/27/2022,00:30
bicycle,442,biomedical sciences wy,10/27/2022,15:22
bicycle,400,matthews apartments,10/24/2022,20:00
scooter,-1,nordstrom rack,10/27/2022,19:07
bicycle,1300,student services center,10/27/2022,21:16
bicycle,150,miramar st,10/27/2022,06:00
bicycle,500,earth hall,10/27/2022,23:00
scooter,-1,la jolla village dr shopping center,10/29/2022,19:53
bicycle,900,one miramar st bldg 3,10/29/2022,12:30
bicycle,100,lion tree arena,10/30/2022,12:15
bicycle,-1,warren apts - goldberg,02/01/2022,02:01
bicycle,900,rimac ,02/01/2022,15:50
bicycle,600,geisel library,02/01/2022,15:10
bicycle,1340,price center south,01/29/2022,17:30
bicycle,1400,matthews bldg b,01/20/2022,15:00
bicycle,400,residence hall ,02/02/2022,02:00
bicycle,150,pepper canyon  apts,02/02/2022,02:12
bicycle,949,warren field,02/02/2022,21:00
bicycle,-1,frankfurter hall ,02/02/2022,03:30
bicycle,600,kaleidoscope,02/02/2022,13:15
bicycle,800,price center,02/03/2022,22:45
scooter,450,geisel library,02/04/2022,03:25
scooter,450,geisel library,02/04/2022,09:35
bicycle,400,scholars dr n / muir ln,02/03/2022,23:00
bicycle,400,geisel library,01/02/2019,16:24
bicycle,-1,seventh college,02/06/2022,03:15
bicycle,250,avenida sivrita,02/06/2022,12:50
bicycle,750,gilman dr,02/07/2022,06:45
bicycle,600, tierra building,02/08/2022,10:30
bicycle,200,blake hall,02/08/2022,04:00
bicycle,129,douglas hall,02/08/2022,06:27
scooter,400,price center,02/08/2022,18:37
bicycle,656,voigt lane,02/06/2022,07:00
bicycle,400,ucsd police department,01/10/2022,00:00
bicycle,300,regents rd,02/09/2022,13:00
bicycle,479,miramar street,02/10/2022,13:20
scooter,500,trolley - central campus stop,02/11/2022,20:58
bicycle,-1,catalyst building,02/14/2022,14:45
scooter,899,target ,02/14/2022,17:30
scooter,900,price center ,02/14/2022,17:27
bicycle,300,structural material & engineering bldg,02/15/2022,11:30
bicycle,300,goldberg hall,02/15/2022,01:30
scooter,-1,geisel library,02/15/2022,20:50
scooter,800,serf bldg ,02/16/2022,02:00
bicycle,600,lot 207,02/02/2022,21:00
scooter,800,library walk - geisel ,02/14/2022,00:30
scooter,600,engineering bldg 2,02/16/2022,15:50
bicycle,-1,center hall,02/16/2022,18:06
bicycle,100,north mandeville ,02/16/2022,20:10
bicycle,-1,warren lecture hall,02/17/2022,17:55
bicycle,3739,structural and material engineering bldg,02/17/2022,17:15
scooter,200,ebu1,02/17/2022,18:18
bicycle,110,galbraith hall,02/17/2022,21:30
scooter,600,64 degrees,02/18/2022,10:53
bicycle,860,redwood drive,02/18/2022,12:13
bicycle,228,mosaic sixth college,02/14/2022,03:00
bicycle,228,mosaic sixth college,02/18/2022,12:00
scooter,400,marshall upper apartments,02/18/2022,15:45
bicycle,468,social sciences building,02/18/2022,18:19
bicycle,500,matthews ln,02/18/2022,13:30
bicycle,1,seventh college  #1,02/18/2022,18:00
bicycle,350,camp snoopy residence halls,02/19/2022,19:00
bicycle,800,ucsd police,02/20/2022,01:00
bicycle,1000,seventh college ,02/16/2022,04:30
bicycle,-1,trolley - ucsd health (voigt),02/23/2022,19:02
bicycle,400,galbraith hall walkway,12/10/2021,20:20
scooter,600,9192 regents rd,02/24/2022,01:15
bicycle,100,9515 gilman dr,02/24/2022,10:30
scooter,369,lot 506,02/24/2022,20:24
bicycle,150,ntpll - kaleidoscope ,02/24/2022,12:30
bicycle,500,camp snoopy,01/30/2022,15:55
scooter,1000,price center ,02/25/2022,20:22
bicycle,600,rita atkinson hall,02/24/2022,11:05
bicycle,-1,tuolomne apts,02/28/2022,10:06
bicycle,300,beagle hall,02/28/2022,10:19
scooter,600,marshall field  side,02/28/2022,02:15
bicycle,200,rita atkinson entrance ,02/18/2022,12:00
scooter,800,seventh college  #8,02/28/2022,16:30
bicycle,580,structural & engineering bldg,02/28/2022,18:07
bicycle,800,warren mall,08/02/2022,12:17
bicycle,-1,seventh college,08/05/2022,10:30
bicycle,1000,seventh college ,08/05/2022,10:38
bicycle,650,mesa nueva arena - 2nd floor ,08/06/2022,07:30
bicycle,400,central mesa apts - ,08/07/2022,20:05
bicycle,1000,price center  - ,08/08/2022,21:01
bicycle,549,pangea parking structure,08/11/2022,05:50
scooter,868,uc san diego bookstore,08/11/2022,00:15
bicycle,500,social science bldg,08/11/2022,10:45
scooter,500,regents rd,08/15/2022,13:15
scooter,600,ucsd police department,08/15/2022,13:07
bicycle,900,regents road,08/15/2022,17:00
bicycle,2000,café ventanas loading dock,08/19/2022,06:45
bicycle,2349,biomedical sciences building,08/20/2022,16:49
bicycle,800,rita atkinson residence hall,08/21/2022,01:00
bicycle,500,warren mall,08/22/2022,16:27
bicycle,1500,stein clinical research bldg,08/23/2022,12:25
bicycle,200,ola parking garage - ,08/24/2022,21:12
bicycle,1200,sequoyah hall,08/25/2022,11:37
bicycle,350,south side of price center,08/22/2022,13:10
scooter,500,rec gym - ,08/25/2022,15:30
bicycle,400,nuevo ,08/25/2022,13:10
scooter,-1,ebu1,08/26/2022,18:29
bicycle,1200,south mesa apts,08/27/2022,05:00
scooter,-1,lecture hall,08/28/2022,08:45
bicycle,400,one miramar street,08/28/2022,18:25
bicycle,400,ebu1,08/28/2022,14:37
bicycle,300,ucsd police department,05/02/2022,09:30
bicycle,300,ucsd police department,05/02/2022,15:27
scooter,299,price center,05/02/2022,17:00
scooter,989,warren college,05/02/2022,16:45
scooter,400,ucsd police department,05/03/2022,13:25
scooter,850,hopkins parking structure,05/08/2022,08:35
bicycle,370,warren activity center ,05/05/2022,22:00
bicycle,390,trolley - central campus,05/09/2022,13:15
scooter,-1,gilman dr / myers dr,05/09/2022,20:36
bicycle,150,price center south expansion,05/11/2022,08:57
scooter,350,ledden auditorium,05/11/2022,09:15
scooter,400,biomedical sciences wy,05/12/2022,11:00
scooter,800,price center,05/12/2022,22:05
bicycle,-1,beagle hall,05/13/2022,10:36
bicycle,1200,price center,05/13/2022,19:05
bicycle,650,voigt dr,05/13/2022,20:40
skateboard,-1,trolley - central campus,05/13/2022,21:45
scooter,-1,trolley - central campus,05/13/2022,21:45
bicycle,269,keeling apts,05/14/2022,13:00
scooter,700,camp snoopy residential hall,05/15/2022,14:14
scooter,560,osler ln,05/12/2022,10:30
bicycle,700,gilman dr,05/16/2022,15:37
scooter,-1,ucsd residence hall,05/13/2022,09:30
scooter,500,warren commuter lounge,05/19/2022,18:25
bicycle,200,latin america hall ,05/20/2022,03:15
bicycle,-1,structural engineering bldg,05/20/2022,12:39
bicycle,700,science and engineering bldg,05/20/2022,13:00
bicycle,750,charles david keeling apts,05/20/2022,03:30
scooter,850, of the trove bldg,05/20/2022,19:45
scooter,300,cse bldg,05/22/2022,01:10
scooter,300,trolley - central campus stop,05/23/2022,20:45
bicycle,400,south mesa apts,05/23/2022,08:32
bicycle,400,warren north  ,05/24/2022,08:45
bicycle,100,computer science & engineering bldg,05/24/2022,13:15
bicycle,-1,gilman parking structure,05/23/2022,12:45
bicycle,300,halicioglu data center,05/24/2022,14:27
scooter,279,lot 309,05/26/2022,19:30
bicycle,-1,discovery hall,05/28/2022,05:30
scooter,659,target,05/29/2022,10:00
bicycle,750,miramar street,05/30/2022,20:45
scooter,699,canyon vista admin & dining facility,11/01/2022,18:50
scooter,855,beagle hall,11/02/2022,07:50
scooter,425,mesa verde hall,11/02/2022,18:00
scooter,400,computer engineering bldg,11/03/2022,07:55
bicycle,2000,gilman and myers bus stop,11/04/2022,06:20
bicycle,99,pepper canyon apartments,11/03/2022,19:30
scooter,415,center hall,11/04/2022,15:00
bicycle,30,lyman ln,11/04/2022,02:25
bicycle,1015,price center -  - ,11/05/2022,03:30
scooter,1030,commuter lounge - ,11/05/2022,05:45
bicycle,280,nuevo  - viento,11/03/2022,01:10
scooter,430,the village ,11/06/2022,11:00
bicycle,150,pepper canyon ln,11/06/2022,09:30
scooter,800,target,11/06/2022,14:02
bicycle,350,peterson hall,11/07/2022,08:42
bicycle,400,york hall,11/07/2022,09:50
scooter,650,meteor hall,11/06/2022,03:30
bicycle,-1,old town,11/07/2022,12:55
scooter,700,starbucks coffee,11/09/2022,13:30
bicycle,520,miramar street,11/09/2022,01:30
bicycle,-1,"one miramar st, bldg 1",11/10/2022,16:59
bicycle,1206,lot 017,11/11/2022,12:45
scooter,600,price center ,11/10/2022,18:00
scooter,300,the village ,11/12/2022,18:07
bicycle,500,rady school of medicine,11/14/2022,15:07
scooter,850,"revelle - housing, dining & hospitality bldg",11/14/2022,12:00
scooter,400,galbraith hall,11/15/2022,10:15
scooter,399,trolley - central campus stop,11/15/2022,11:49
scooter,310,center hall north ,11/15/2022,11:42
scooter,2300,wells fargo hall,11/15/2022,13:30
bicycle,300,peterson hall  ,11/16/2022,10:30
scooter,300,center hall,11/16/2022,15:10
bicycle,1000,seventh college  #3,11/17/2022,19:39
bicycle,550,lyman ave,11/18/2022,13:36
bicycle,750,charles david keeling apts,11/19/2022,06:35
bicycle,646,la jolla del sol apartments,11/20/2022,00:45
bicycle,750,charles david keeling apartments,11/19/2022,06:35
scooter,700,pepper canyon apartments,11/20/2022,05:30
scooter,1200,rimac,11/20/2022,21:58
bicycle,380,argo hall,11/21/2022,07:47
bicycle,534,gilman dr,11/20/2022,11:37
bicycle,800,geisel library,11/21/2022,12:37
bicycle,420,price center ,11/20/2022,15:25
scooter,414,price center,11/21/2022,14:35
bicycle,250,medical teaching facility,11/21/2022,18:45
bicycle,-1,pepper canyon apartments,11/22/2022,03:34
bicycle,600,miramar st,11/21/2022,01:20
bicycle,110,design and innovation building,11/20/2022,01:00
bicycle,200,seventh  building,11/21/2022,19:07
scooter,800,warren lecture hall,11/23/2022,12:37
bicycle,-1,trolley - central campus stop,11/23/2022,18:50
bicycle,325,nuevo  - exchange,11/24/2022,05:15
scooter,1000,price center / target,11/25/2022,21:10
skateboard,300,mesa apartments central,11/27/2022,15:13
bicycle,781,one miramar st bldg 1,11/25/2022,14:00
bicycle,100,ntpll - catalyst,11/25/2022,04:00
bicycle,500,7th  tower,11/28/2022,18:42
scooter,649,challenger hall,11/29/2022,00:40
bicycle,150,marshal lower o bldg,11/27/2022,20:30
bicycle,170,ntpll - kaleidoscope,07/02/2022,15:50
bicycle,1000,scholars dr north,07/03/2022,17:15
bicycle,100,scholars dr north,07/03/2022,20:15
bicycle,-1,gilman dr/ myers dr,07/05/2022,11:38
bicycle,500,one miramar street,07/03/2022,05:20
bicycle,300,camp snoopy,06/11/2022,16:00
scooter,700,central hall,07/07/2022,10:15
bicycle,-1,ntpll - mosaic,07/11/2022,13:28
bicycle,249,mesa nueva - artesa 4th floor,07/03/2022,20:10
scooter,400,biomedical research facility ii,07/13/2022,17:58
bicycle,100,gilman dr / myers ,07/14/2022,04:00
bicycle,1200,molli and arthur wagner dance building,07/18/2022,09:00
bicycle,675,price center,07/19/2022,20:57
scooter,2300,central mesa apartments,07/20/2022,20:46
bicycle,370,urey 1220,07/21/2022,12:17
bicycle,300,café ventanas,07/01/2022,17:30
scooter,200,warren lecture hall,07/21/2022,21:34
bicycle,1270,pacific hall,07/22/2022,18:22
bicycle,60,seventh college,07/23/2022,00:45
scooter,-1,geisel library,07/24/2022,17:36
bicycle,315,mesa nueva - cresta,07/23/2022,18:30
bicycle,400,la jolla del sol,07/25/2022,10:54
bicycle,-1,warren apts - goldberg,07/26/2022,12:00
bicycle,900,atkinson hall,07/26/2022,14:15
scooter,250,center hall - ,07/28/2022,18:00
bicycle,-1,south mesa apts,07/30/2022,14:13
bicycle,300,south mesa apts,07/30/2022,06:50
scooter,700,ucsd book store,07/30/2022,13:35
bicycle,700,scholars dr north,07/16/2022,16:30
bicycle,1600,biomedical research facility,06/02/2022,19:28
bicycle,450,athena parking,06/03/2022,13:30
bicycle,759,serf building,06/03/2022,05:05
scooter,538,trolley- central campus stop,05/26/2022,16:30
scooter,900,price center,06/05/2022,15:34
bicycle,217,canyonview,06/05/2022,22:28
bicycle,-1,main gym,06/05/2022,23:10
scooter,700,ntpll - scholars parking,06/06/2022,03:30
bicycle,900,geisel library,06/05/2022,04:40
scooter,350,price center ,06/06/2022,20:00
scooter,800,geisel library,06/08/2022,08:30
